Drug1,Drug2,Batch,InteractionType,Value,MahalanobisDistance
CLOUD259,CLOUD257,Batch2,Emergent,0.82169968807,7.3140817867
CLOUD089,CLOUD088,Batch2,Emergent,0.585969362462,6.9264220475
CLOUD202,CLOUD077,Batch1,Emergent,1.28209795167,3.57880530511
CLOUD267,CLOUD243,Batch2,Emergent,1.32894540578,19.7994118108
CLOUD112,CLOUD010,Batch2,Emergent,0.71989209352,5.8547990212
CLOUD235,CLOUD037,Batch1,Emergent,1.0506060381,6.32696283996
CLOUD180,CLOUD053,Batch1,Emergent,1.33125555018,3.79498641948
CLOUD223,CLOUD145,Batch1,Emergent,1.0081961326,3.53135117708
CLOUD191,CLOUD101,Batch2,Emergent,0.396203512447,4.66041901937
CLOUD086,CLOUD063,Batch1,Emergent,1.99786471779,3.38455451661
CLOUD130,CLOUD063,Batch1,Emergent,2.07702896777,4.41414388107
CLOUD112,CLOUD088,Batch2,Emergent,0.930712424102,8.91649489785
CLOUD112,CLOUD087,Batch2,Emergent,0.623453617967,4.04322888863
CLOUD117,CLOUD112,Batch2,Emergent,1.05181867377,17.7872615846
CLOUD073,CLOUD057,Batch2,Emergent,0.77470596606,5.57334126096
CLOUD117,CLOUD110,Batch2,Emergent,0.882682757668,5.43366624938
CLOUD115,CLOUD002,Batch2,Emergent,1.51895350083,3.09817714659
CLOUD211,CLOUD208,Batch1,Emergent,1.31653261098,5.27670543829
CLOUD140,CLOUD010,Batch2,Emergent,0.614664067152,7.68439387722
CLOUD246,CLOUD098,Batch1,Emergent,2.0220589972,14.9542856255
CLOUD210,CLOUD039,Batch2,Emergent,0.566880836263,6.76945914984
CLOUD167,CLOUD027,Batch2,Emergent,0.819773959118,6.66996105319
CLOUD210,CLOUD209,Batch2,Emergent,0.776818759639,6.24094104049
CLOUD221,CLOUD112,Batch2,Emergent,0.733684471451,5.2499788888
CLOUD182,CLOUD178,Batch2,Emergent,0.955407145007,10.1031231182
CLOUD206,CLOUD002,Batch2,Emergent,0.856886209744,10.3039778911
CLOUD143,CLOUD013,Batch1,Emergent,1.50275347653,5.67041044343
CLOUD143,CLOUD011,Batch2,Emergent,1.44248865277,3.52496810599
CLOUD187,CLOUD049,Batch1,Emergent,1.50254846682,7.01216153573
CLOUD247,CLOUD009,Batch1,Emergent,0.980556787781,3.8383859933
CLOUD262,CLOUD117,Batch2,Emergent,0.924703351259,7.2349505587
CLOUD153,CLOUD112,Batch2,Emergent,0.656829932773,5.63032809168
CLOUD227,CLOUD191,Batch2,Emergent,0.653129655368,7.32146460525
CLOUD078,CLOUD063,Batch2,Emergent,1.3120948183,7.00558661357
CLOUD209,CLOUD178,Batch2,Emergent,2.2309963357,11.6273969101
CLOUD238,CLOUD199,Batch1,Emergent,3.16502334706,18.7443785345
CLOUD200,CLOUD009,Batch1,Emergent,1.02169886965,7.05336909926
CLOUD209,CLOUD171,Batch1,Emergent,1.5222318346,3.92817605188
CLOUD194,CLOUD159,Batch2,Emergent,0.644599670509,9.32170185599
CLOUD087,CLOUD063,Batch1,Emergent,1.62998902141,4.96139234984
CLOUD145,CLOUD009,Batch1,Emergent,0.986921652726,4.66407789784
CLOUD154,CLOUD063,Batch2,Emergent,2.43170678668,22.3715325205
CLOUD194,CLOUD110,Batch1,Emergent,2.57588793012,9.49945864754
CLOUD077,CLOUD070,Batch1,Emergent,1.50728601606,4.96865907176
CLOUD141,CLOUD057,Batch2,Emergent,0.821902500079,5.77635463008
CLOUD031,CLOUD027,Batch2,Emergent,0.670581924571,11.1227164096
CLOUD207,CLOUD063,Batch2,Emergent,1.63983984566,9.90638080161
CLOUD145,CLOUD098,Batch2,Emergent,1.56086295539,22.4284867144
CLOUD227,CLOUD163,Batch2,Emergent,0.860127574802,9.50275017385
CLOUD211,CLOUD032,Batch1,Emergent,1.19168801229,4.41601124587
CLOUD196,CLOUD052,Batch1,Emergent,1.1540539268,6.90250032693
CLOUD209,CLOUD099,Batch2,Emergent,1.60411165778,17.0327497861
CLOUD169,CLOUD132,Batch1,Emergent,1.46733619572,4.617816964
CLOUD151,CLOUD049,Batch2,Emergent,1.61168810143,25.898803529
CLOUD138,CLOUD103,Batch2,Emergent,1.18216350303,6.48960148998
CLOUD259,CLOUD178,Batch1,Emergent,1.17269990619,7.11532085809
CLOUD189,CLOUD182,Batch2,Emergent,1.93214628192,25.4566277098
