Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD072,CLOUD062,Batch1,1315040,F14,0.4343680738613264,0.12130114140579577,0.09483154319287612,0.5029798721175063,-0.40814832892463015
CLOUD072,CLOUD063,Batch1,1315053,H24,0.4343680738613264,0.7556534777685975,0.9807215643073534,0.8617898059849656,0.11893175832238778
CLOUD072,CLOUD064,Batch1,1315004,P14,0.4343680738613264,0.43404020930873033,0.704397319379418,0.6798750734742567,0.024522245905161277
CLOUD072,CLOUD065,Batch1,1315002,G21,Drug2Problem,Drug2Problem,Drug2Problem,Drug2Problem,Drug2Problem
CLOUD072,CLOUD066,Batch2,1315118,M16,0.021081489884666457,0.16173729843610737,0,0.17940912509981977,-0.17940912509981977
CLOUD072,CLOUD067,Batch2,1315098,C23,0.021081489884666457,0,0.03127785430678238,0.021081489884666457,0.010196364422115922
CLOUD072,CLOUD068,Batch1,1315047,G13,0.4343680738613264,0,0,0.4343680738613264,-0.4343680738613264
CLOUD072,CLOUD069,Batch2,1315117,N01,0.021081489884666457,0.011357804607946583,0,0.032199855049658596,-0.032199855049658596
CLOUD072,CLOUD070,Batch1,1315016,C10,0.4343680738613264,0.10204456334998885,0.16368309923804275,0.4920877367809605,-0.32840463754291777
CLOUD072,CLOUD071,Batch2,1315119,P20,0.021081489884666457,0.26413985900656356,0.2067093428409368,0.27965288712544595,-0.07294354428450914
CLOUD073,CLOUD001,Batch1,1315018,E12,0.46951515389962095,0.2966125034425777,0.09942164692922056,0.6268635921398049,-0.5274419452105843
CLOUD073,CLOUD002,Batch2,1315099,H23,0.1157523701482863,0,0.22372579207519658,0.1157523701482863,0.10797342192691028
CLOUD073,CLOUD003,Batch1,1315024,D24,0.46951515389962095,0.30842437039077075,0.7245937758193335,0.6331296085599752,0.09146416725935824
CLOUD073,CLOUD004,Batch2,1315086,J14,0.1157523701482863,0,0.06450044566890863,0.1157523701482863,-0.05125192447937767
CLOUD073,CLOUD005,Batch1,1315040,C06,0.46951515389962095,0.048701000642614484,0.09758560543468278,0.4953502967304528,-0.39776469129576997
CLOUD073,CLOUD006,Batch1,1315042,H01,0.46951515389962095,0.1878139303091107,0.5400716056182869,0.5691475978151568,-0.02907599219686985
CLOUD073,CLOUD007,Batch2,1315123,O10,0.1157523701482863,0.027145288064176504,0.024390243902439133,0.1397555267806764,-0.11536528287823727
CLOUD073,CLOUD008,Batch1,1315016,A12,0.46951515389962095,0.13561789353582246,0.5602680620582025,0.5414583912804293,0.01880967077777318
CLOUD073,CLOUD009,Batch1,1315042,H18,0.46951515389962095,0.3235498550838677,0.016799779675020613,0.6411534489795865,-0.6243536693045658
CLOUD073,CLOUD010,Batch1,1315006,L17,0.46951515389962095,0.42531901220967594,0.12145414486367388,0.6951404446352362,-0.5736862997715623
CLOUD073,CLOUD011,Batch2,1315100,D17,0.1157523701482863,0,0,0.1157523701482863,-0.1157523701482863
CLOUD073,CLOUD012,Batch2,1315080,B07,0.1157523701482863,0.03411392917915901,0,0.14591753116988687,-0.14591753116988687
CLOUD073,CLOUD013,Batch2,1315094,B18,0.1157523701482863,0.04512060070766825,0.16821975528725397,0.1556501543815275,0.01256960090572648
CLOUD073,CLOUD014,Batch1,1315005,K21,0.46951515389962095,0.13247039383090053,0.28302579638299824,0.5397886903838628,-0.25676289400086455
CLOUD073,CLOUD015,Batch1,1315029,B20,0.46951515389962095,0.07161873286907704,0.41430276324244925,0.5075078063835774,-0.09320504314112815
CLOUD073,CLOUD016,Batch2,1315072,I07,0.1157523701482863,0.25019582421737846,0.014666558625719257,0.33698743471129916,-0.3223208760855799
CLOUD073,CLOUD017,Batch2,1315109,C20,0.1157523701482863,0.42130567485076853,0.1900980471598737,0.48829091457815516,-0.29819286741828144
CLOUD073,CLOUD018,Batch1,1315057,J19,0.46951515389962095,0.4738211083570489,0.19305976315064718,0.7208700716455211,-0.5278103084948739
CLOUD073,CLOUD019,Batch2,1315094,G11,0.1157523701482863,0.16761202495745897,0.11919617535045791,0.2639629059515657,-0.14476673060110778
